City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,33.03,100,100,9.22,US,1704672767
1,kruisfontein,-34.0033,24.7314,63.88,87,100,6.71,ZA,1704672813
2,ponta do sol,32.6667,-17.1,70.0,84,100,5.55,PT,1704672813
3,puerto ayora,-0.7393,-90.3518,78.55,93,100,5.01,EC,1704672813
4,saint-philippe,-21.3585,55.7679,78.39,83,51,7.52,RE,1704672813
5,hilo,19.7297,-155.09,78.53,85,40,13.8,US,1704672814
6,butaritari,3.0707,172.7902,83.3,79,97,14.58,KI,1704672814
7,raiganj,25.6167,88.1167,58.78,89,0,6.44,IN,1704672814
8,katsuura,35.1333,140.3,43.0,51,5,12.84,JP,1704672562
9,kaitangata,-46.2817,169.8464,63.46,60,94,6.44,NZ,1704672815
10,bichena,10.45,38.2,55.38,54,49,3.31,ET,1704672815
11,bull savanna,17.8868,-77.5902,75.15,82,4,8.55,JM,1704672815
12,mar del plata,-38.0023,-57.5575,69.1,79,75,9.22,AR,1704672796
13,jiangyou,31.7667,104.7167,48.04,88,73,0.87,CN,1704672816
14,mukhen,48.1,136.1,-8.97,89,51,8.52,RU,1704672816
15,new norfolk,-42.7826,147.0587,60.3,93,100,4.21,AU,1704672817
16,nanortalik,60.1432,-45.2371,30.79,83,76,8.46,GL,1704672817
17,busselton,-33.65,115.3333,75.6,50,53,7.54,AU,1704672817
18,souillac,-20.5167,57.5167,77.38,88,40,0.0,MU,1704672817
19,homer,59.6425,-151.5483,37.27,93,20,5.01,US,1704672818
20,kapaa,22.0752,-159.319,82.38,73,75,17.27,US,1704672818
21,andijon,40.7821,72.3442,43.88,63,98,4.12,UZ,1704672819
22,hermanus,-34.4187,19.2345,61.05,77,48,6.82,ZA,1704672819
23,paamiut,61.994,-49.6678,29.01,96,100,9.19,GL,1704672820
24,tasiilaq,65.6145,-37.6368,33.96,97,100,15.14,GL,1704672820
25,provideniya,64.3833,-173.3,25.03,94,99,18.28,RU,1704672820
26,frutal,-20.0247,-48.9406,78.62,63,45,2.82,BR,1704672821
27,palmer,42.1584,-72.3287,27.43,81,100,5.68,US,1704672821
28,kostino,58.9097,53.2691,-7.56,97,100,7.63,RU,1704672821
29,isangel,-19.55,169.2667,80.71,94,100,0.0,VU,1704672822
30,sabang,5.8933,95.3214,80.08,85,98,20.49,ID,1704672822
31,punta arenas,-53.15,-70.9167,48.31,61,100,19.57,CL,1704672822
32,henties bay,-22.116,14.2845,64.04,87,2,7.23,NA,1704672822
33,klaksvik,62.2266,-6.589,41.92,75,27,11.32,FO,1704672823
34,hasaki,35.7333,140.8333,39.6,47,1,15.32,JP,1704672823
35,ushuaia,-54.8,-68.3,47.86,53,0,16.11,AR,1704672823
36,kahului,20.8947,-156.47,84.22,61,20,14.97,US,1704672823
37,yulara,-25.2406,130.9889,82.99,38,0,14.23,AU,1704672824
38,flinders,-34.5833,150.8552,71.26,89,94,5.46,AU,1704672824
39,arraial do cabo,-22.9661,-42.0278,76.24,86,6,12.53,BR,1704672824
40,bethel,41.3712,-73.414,33.89,75,100,3.44,US,1704672824
41,cabo san lucas,22.8909,-109.9124,75.61,48,0,13.8,MX,1704672629
42,vostok,46.4856,135.8833,-13.67,97,81,4.9,RU,1704672825
43,mataura,-46.1927,168.8643,67.48,39,100,2.53,NZ,1704672825
44,kenai,60.5544,-151.2583,33.15,99,100,0.0,US,1704672825
45,el estor,15.5333,-89.35,76.51,83,61,2.66,GT,1704672825
46,kavaratti,10.5669,72.642,82.51,73,98,7.99,IN,1704672825
47,atuona,-9.8,-139.0333,81.05,72,18,12.82,PF,1704672826
48,albany,42.6001,-73.9662,30.63,89,99,2.93,US,1704672826
49,upernavik,72.7868,-56.1549,-3.15,98,89,3.87,GL,1704672689
50,rikitea,-23.1203,-134.9692,75.2,89,100,11.81,PF,1704672826
51,cape town,-33.9258,18.4232,63.88,73,20,13.8,ZA,1704672826
52,bonito,-21.1211,-56.4819,83.34,57,38,3.42,BR,1704672826
53,dikson,73.5069,80.5464,-1.28,95,99,13.0,RU,1704672827
54,lompoc,34.6391,-120.4579,57.94,51,0,18.41,US,1704672827
55,brandon,27.9378,-82.2859,59.59,75,0,4.61,US,1704672827
56,avarua,-21.2078,-159.775,84.25,79,75,17.27,CK,1704672827
57,thompson,55.7435,-97.8558,-18.24,83,20,2.3,CA,1704672827
58,barrow,71.2906,-156.7887,6.82,78,100,42.57,US,1704672828
59,torbay,47.6666,-52.7314,24.28,78,20,23.02,CA,1704672828
60,mount gambier,-37.8333,140.7667,62.67,86,100,12.19,AU,1704672828
61,urucara,-2.5364,-57.76,75.94,86,56,1.48,BR,1704672828
62,georgetown,5.4112,100.3354,76.95,90,20,2.3,MY,1704672828
63,genhe,50.7833,121.5167,-28.95,100,27,0.96,CN,1704672829
64,vaini,-21.2,-175.2,79.95,82,79,9.33,TO,1704672829
65,marathon,44.9,-89.7668,31.24,83,100,8.05,US,1704672829
66,saint-leu,-21.15,55.2833,77.86,80,71,8.28,RE,1704672829
67,viedma,-40.8135,-62.9967,72.72,59,46,13.8,AR,1704672829
68,saskylakh,71.9167,114.0833,-24.34,99,98,6.98,RU,1704672745
69,road town,18.4167,-64.6167,77.09,68,40,14.12,VG,1704672830
70,iqaluit,63.7506,-68.5145,-9.67,77,75,2.3,CA,1704672830
71,lodja,-3.4833,23.4333,69.42,96,99,1.74,CD,1704672830
72,victoria,22.2855,114.1577,66.25,76,95,11.99,HK,1704672609
73,bergen,60.392,5.328,27.88,43,75,0.0,NO,1704672831
74,hithadhoo,-0.6,73.0833,82.6,76,99,11.14,MV,1704672831
75,bubaque,11.2833,-15.8333,79.79,66,7,10.74,GW,1704672831
76,saint george,37.1041,-113.5841,39.79,35,100,14.0,US,1704672577
77,asha,54.9973,57.2722,-6.83,99,100,5.01,RU,1704672831
78,haines junction,60.7522,-137.5108,-7.65,77,100,0.0,CA,1704672831
79,slave lake,55.2834,-114.769,-0.42,71,100,0.0,CA,1704672832
80,grindavik,63.8424,-22.4338,46.87,100,100,26.46,IS,1704672832
81,progreso,21.2833,-89.6667,77.11,89,87,18.45,MX,1704672832
82,ndele,8.4109,20.6473,68.85,19,18,5.03,CF,1704672832
83,baixa grande,-11.9597,-40.1681,75.9,81,100,10.47,BR,1704672832
84,pitimbu,-7.4706,-34.8086,79.39,76,2,7.74,BR,1704672833
85,kargat,55.1956,80.2811,24.67,87,100,19.17,RU,1704672833
86,berlevag,70.8578,29.0864,28.35,64,100,18.41,NO,1704672833
87,cayenne,4.9333,-52.3333,80.64,74,0,5.75,GF,1704672793
88,vao,-22.6667,167.4833,77.36,82,94,15.3,NC,1704672833
89,novyy urengoy,66.0833,76.6333,-6.03,96,100,7.58,RU,1704672833
90,ibra,22.6906,58.5334,64.11,70,15,4.47,OM,1704672834
91,pemangkat,1.1667,108.9667,76.55,89,100,5.91,ID,1704672834
92,ravar,31.2656,56.8055,41.52,40,0,5.12,IR,1704672834
93,shingu,33.7333,135.9833,40.6,53,6,4.99,JP,1704672559
94,turukhansk,65.8167,87.9833,-11.09,94,100,10.02,RU,1704672834
95,svetlyy,54.675,20.1347,10.36,86,77,12.1,RU,1704672835
96,gazanjyk,39.2446,55.5154,47.32,40,6,5.5,TM,1704672835
97,kuli,42.0185,47.2434,34.83,46,100,12.12,RU,1704672835
98,cherskiy,68.75,161.3,-39.75,100,56,5.06,RU,1704672835
99,eureka,40.8021,-124.1637,48.92,79,89,5.01,US,1704672835
100,bambous virieux,-20.3428,57.7575,77.25,88,40,0.0,MU,1704672836
101,sattahip,12.6664,100.9007,79.99,94,6,4.61,TH,1704672836
102,kathmandu,27.7167,85.3167,43.02,87,20,3.44,NP,1704672667
103,mahebourg,-20.4081,57.7,77.29,88,40,0.0,MU,1704672836
